route_id,origin_latitude,origin_longitude,dest_latitude,dest_longitude,duration,distance,route_type,error_description,test_code,test_error_description
896,38.713857179374784,-9.148987594250814,38.74978962637444,-9.122038259001084,1574.2,7.839,safest,,,
896,38.713857179374784,-9.148987594250814,38.74978962637444,-9.122038259001084,1494.4,7.44,balanced,,,
896,38.713857179374784,-9.148987594250814,38.74978962637444,-9.122038259001084,1494.4,7.44,shortest,,,
495,38.71834873524974,-9.175936929500542,38.75428118224939,-9.148987594250814,1544.3,6.9,safest,,,
495,38.71834873524974,-9.175936929500542,38.75428118224939,-9.148987594250814,1364.2,6.497,balanced,,,
495,38.71834873524974,-9.175936929500542,38.75428118224939,-9.148987594250814,1317.9,6.441,shortest,,,
187,38.74080651462452,-9.198394708875316,38.713857179374784,-9.162462261875678,1640.2,7.639,safest,,,
187,38.74080651462452,-9.198394708875316,38.713857179374784,-9.162462261875678,1530.8,7.166,balanced,,,
187,38.74080651462452,-9.198394708875316,38.713857179374784,-9.162462261875678,1526.3,7.225,shortest,,,
652,38.73631495874957,-9.166953817750631,38.70936562349983,-9.131021370750997,1631.1,6.503,safest,,,
652,38.73631495874957,-9.166953817750631,38.70936562349983,-9.131021370750997,1527.8,6.208,balanced,,,
652,38.73631495874957,-9.166953817750631,38.70936562349983,-9.131021370750997,1498.1,6.705,shortest,,,
1124,38.72733184699965,-9.12652981487604,38.77224740574922,-9.12652981487604,1498.4,7.328,safest,,,
1124,38.72733184699965,-9.12652981487604,38.77224740574922,-9.12652981487604,1523.0,7.341,balanced,,,
1124,38.72733184699965,-9.12652981487604,38.77224740574922,-9.12652981487604,1523.0,7.341,shortest,,,
245,38.73631495874957,-9.19390315300036,38.763264293999306,-9.157970706000723,1704.1,8.148,safest,,,
245,38.73631495874957,-9.19390315300036,38.763264293999306,-9.157970706000723,1511.7,7.26,balanced,,,
245,38.73631495874957,-9.19390315300036,38.763264293999306,-9.157970706000723,1511.7,7.26,shortest,,,
530,38.75428118224939,-9.175936929500542,38.72733184699965,-9.140004482500904,1054.9,5.209,safest,,,
530,38.75428118224939,-9.175936929500542,38.72733184699965,-9.140004482500904,1054.9,5.209,balanced,,,
530,38.75428118224939,-9.175936929500542,38.72733184699965,-9.140004482500904,1054.9,5.209,shortest,,,
323,38.74978962637444,-9.189411597125408,38.776738961624176,-9.153479150125769,1313.4,6.365,safest,,,
323,38.74978962637444,-9.189411597125408,38.776738961624176,-9.153479150125769,1217.2,5.949,balanced,,,
323,38.74978962637444,-9.189411597125408,38.776738961624176,-9.153479150125769,1217.2,5.949,shortest,,,
289,38.713857179374784,-9.189411597125408,38.74080651462452,-9.153479150125769,1970.4,8.55,safest,,,
289,38.713857179374784,-9.189411597125408,38.74080651462452,-9.153479150125769,1789.4,7.997,balanced,,,
289,38.713857179374784,-9.189411597125408,38.74080651462452,-9.153479150125769,1779.5,7.969,shortest,,,
