route_id,origin_latitude,origin_longitude,dest_latitude,dest_longitude,duration_min,distance,route_type
475,38.77224740574922,-9.180428485375495,38.74529807049948,-9.14449603837586,21.433333333333334,6.089,google
484,38.70487406762487,-9.175936929500542,38.74080651462452,-9.148987594250814,24.78333333333333,5.458,google
485,38.70487406762487,-9.175936929500542,38.73182340287461,-9.140004482500904,28.666666666666668,6.286,google
492,38.713857179374784,-9.175936929500542,38.74080651462452,-9.140004482500904,23.933333333333334,5.22,google
497,38.71834873524974,-9.175936929500542,38.71834873524974,-9.131021370750997,30.216666666666665,7.25,google
526,38.74978962637444,-9.175936929500542,38.776738961624176,-9.140004482500904,22.65,6.013,google
536,38.75877273812435,-9.175936929500542,38.78572207337409,-9.140004482500904,24.616666666666667,6.521,google
554,38.70487406762487,-9.171445373625588,38.74080651462452,-9.14449603837586,25.83333333333333,6.436,google
555,38.70487406762487,-9.171445373625588,38.73182340287461,-9.13551292662595,27.166666666666668,6.782,google
562,38.713857179374784,-9.171445373625588,38.74080651462452,-9.13551292662595,22.466666666666665,5.93,google
574,38.72733184699965,-9.171445373625588,38.75428118224939,-9.13551292662595,23.8,5.398,google
580,38.73631495874957,-9.171445373625588,38.78123051749913,-9.171445373625588,32.0,8.629,google
588,38.74080651462452,-9.171445373625588,38.74080651462452,-9.12652981487604,18.316666666666663,4.596,google
589,38.74529807049948,-9.171445373625588,38.70936562349983,-9.14449603837586,27.73333333333333,6.347,google
603,38.75877273812435,-9.171445373625588,38.7228402911247,-9.14449603837586,24.133333333333333,6.75,google
608,38.763264293999306,-9.171445373625588,38.763264293999306,-9.12652981487604,22.15,5.696,google
614,38.77224740574922,-9.171445373625588,38.77224740574922,-9.12652981487604,27.616666666666667,7.681,google
633,38.713857179374784,-9.166953817750631,38.713857179374784,-9.122038259001084,19.45,5.936,google
639,38.7228402911247,-9.166953817750631,38.75877273812435,-9.140004482500904,26.116666666666667,6.126,google
673,38.75428118224939,-9.166953817750631,38.75428118224939,-9.122038259001084,24.566666666666663,6.643,google
679,38.763264293999306,-9.166953817750631,38.763264293999306,-9.122038259001084,18.45,5.006,google
708,38.7228402911247,-9.162462261875678,38.75877273812435,-9.13551292662595,26.4,7.314,google
726,38.74080651462452,-9.162462261875678,38.713857179374784,-9.12652981487604,24.416666666666668,6.159,google
732,38.74529807049948,-9.162462261875678,38.77224740574922,-9.12652981487604,21.566666666666663,5.964,google
753,38.77224740574922,-9.162462261875678,38.77224740574922,-9.11754670312613,23.75,6.47,google
755,38.776738961624176,-9.162462261875678,38.74978962637444,-9.12652981487604,25.316666666666663,6.442,google
762,38.70487406762487,-9.157970706000723,38.74978962637444,-9.157970706000723,34.46666666666667,8.519,google
774,38.7228402911247,-9.157970706000723,38.76775584987426,-9.157970706000723,24.45,6.283,google
784,38.73182340287461,-9.157970706000723,38.75877273812435,-9.122038259001084,27.08333333333333,6.901,google
792,38.74080651462452,-9.157970706000723,38.713857179374784,-9.122038259001084,24.7,7.981,google
800,38.74529807049948,-9.157970706000723,38.74529807049948,-9.113055147251176,20.2,5.235,google
802,38.74978962637444,-9.157970706000723,38.7228402911247,-9.122038259001084,18.766666666666666,5.963,google
808,38.75428118224939,-9.157970706000723,38.75428118224939,-9.113055147251176,22.73333333333333,5.72,google
817,38.76775584987426,-9.157970706000723,38.76775584987426,-9.113055147251176,21.45,5.877,google
823,38.776738961624176,-9.157970706000723,38.776738961624176,-9.113055147251176,29.2,8.269,google
